county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bandera County,TX,9.25,22.33,11.45,8.13,6.68,7.81,21.21,7.35,7.55,11.74,2.88,9.51,5.25,7.29,1.4,9.9,7.5,18.67,2.29,4.68,8.47
Banks County,GA,10.83,14.35,15.29,22.14,17.18,10.06,8.95,11.75,16.69,15.52,8.05,13.47,21.04,10.35,14.39,7.33,12.93,14.18,7.61,16.33,18.95
Banner County,NE,4.41,5.05,4.54,7.94,6.42,5.62,4.7,7.72,4.87,4.35,4.48,2.36,6.51,7.48,6.45,5.51,4.55,4.25,6.8,2.45,2.32
Bannock County,ID,1.71,2.65,2.08,3.44,2.16,3.46,3.17,1.01,2.67,1.63,2.58,1.54,4.12,7.27,4.78,3.92,4.09,0.48,3.86,1.16,3.21
Baraga County,MI,9.98,13.2,9.59,7.94,6.93,7.01,10.38,9.92,11.64,16.13,8.79,9.54,9.85,11.37,7.39,15.96,12.11,12.36,11.43,14.47,7.39
Barber County,KS,4.77,9.52,9.74,7.1,8.02,9.4,6.11,10.48,7.58,10.74,4.41,3.97,12.19,8.19,12.02,13.15,7.45,12.71,8.7,10.03,6.71
Barbour County,AL,8.99,12.98,20.65,17.19,18.45,9.69,11.56,18.1,17.43,10.29,11.31,16.72,22.3,10.18,11.59,10.41,12.47,17.4,8.14,23.89,16.68
Barbour County,WV,17.05,10.11,17.72,15.61,9.44,12.04,14.77,8.71,10.25,11.16,17.32,15.43,16.08,10.91,11.13,13.11,15.04,20.84,10.75,11.87,13.11
Barnes County,ND,10.56,9.1,4.98,8.58,7.23,7.33,6.19,9.04,6.79,12.92,8.98,3.58,5.26,6.63,4.7,11.27,8.36,10.67,13.2,10.54,6.34
Barnstable County,MA,9.85,8.97,8.78,12.78,9.03,8.75,6.11,14.39,15.35,11.87,12.43,12.39,8.12,9.52,9.02,6.31,14.99,8.35,9.8,3.44,16.61
Barnwell County,SC,12.61,12.52,17.76,17.03,12.07,10.74,10.5,15.27,10.01,15.67,12.6,15.3,19.7,12.36,12.58,16.49,12.98,14.7,6.78,21.11,17.76
Barren County,KY,11.8,15.55,18.23,12.45,15.31,18.21,8.66,8.17,13.58,12.58,9.4,12.97,14.85,10.34,14.63,16.87,16.22,14.59,7.95,16.12,17.31
Barron County,WI,12.25,16.05,7.59,12.68,6.68,9.86,12.97,8.01,8.56,19.23,13.24,6.22,5.25,13.57,17.89,15.34,11.02,12.87,15.34,12.86,11.77
Barrow County,GA,11.17,14,17.99,18.8,16.45,10.6,7.22,9.58,17.74,14.09,6.1,12.26,19.44,11.51,15.25,9.63,12.2,12.62,9.55,17.67,16.67
Barry County,MI,10.42,8.68,10.28,9.47,9.18,12.1,9.34,17.4,8.31,8.74,13.55,8.09,8.96,10.14,8.87,16.53,5.86,11.11,11.75,8.64,11.98
Barry County,MO,8.67,5.99,11.83,10.57,8.91,9.95,12.78,18.68,16.91,15,8.63,8.51,15.39,9.02,18.24,13.38,10.57,10.19,9.16,6.77,8.57
Bartholomew County,IN,14.39,8.8,16.36,10.68,14.14,14.24,7.31,8.31,16.52,3.5,8.45,9.7,6.33,11.35,15.16,20.14,10.1,14.81,7.16,9.95,17.09
Barton County,KS,11.38,5.68,5.88,11.41,8.33,12.19,9.34,11.29,8.98,8.99,5.29,5.68,16.42,9.92,5.95,11.23,6.08,11.35,10.01,11.02,9.56
Barton County,MO,8.96,6.59,13.04,9.04,10.54,7.2,10.9,14.06,15.25,16.61,7.6,10.27,13.01,7.45,15.36,13.82,12.59,12.61,18.51,8.87,10.66
Bartow County,GA,12.29,14.13,16.04,16.66,13.63,10.56,6.74,10.54,17.58,9.99,10.71,11.62,15.25,7.47,11.84,7.43,13.55,13.12,7.35,13,18.94
Bastrop County,TX,11.19,9.54,10.51,7.07,7.66,6.83,12.85,4.85,9.93,10.64,0.83,10.16,9.53,8.1,2.82,11.84,22.86,9.79,1.5,8.96,9.96
Bates County,MO,12.56,5.91,11.38,11.83,13.79,8.5,11.07,13.92,12.57,17.04,7.94,10.13,9.84,11.67,14.06,17.64,16.13,12.42,21.95,11.54,15.32
Bath County,KY,14.98,9.9,14.86,16.92,10.23,18.02,9.61,6.56,15.6,10.05,13.51,15.74,12.67,10.88,17.65,12.74,13.68,27.6,13.04,15.8,18.03
